,con_0bk,roi-007,roi-018,roi-022,roi-153,roi-154,roi-160,roi-163,roi-187,roi-198,roi-202,roi-333,roi-334,roi-340,roi-343,sub
59,tool,5.351173854686997,3.9962280383081854,4.6027598265209235,0.5051643952727318,2.3940621298407354,0.5599775180941627,4.337786240612759,6.156617758879021,4.217209707379167,6.566978298848675,1.6180121581448186,3.3250737595024393,1.9383030666705268,4.088713119510843,137229
60,face,4.640334738926454,2.5265313921924175,7.249104586429894,-1.113876013852035,3.4644941625095185,0.47671217828868856,3.3392291572805837,5.802752194119923,4.108313779123345,6.691712460210247,-0.3733660862504477,2.27571018526692,0.8509779226632765,3.0991080964312836,151829
61,place,7.458399351799127,2.933036521970722,7.02250324934721,1.0530214580583075,5.376354907789538,4.342103109191803,3.543938518071375,9.549047196089331,3.699953173684795,5.59939828551104,1.9975253149900485,7.206132860326055,5.583689141512653,4.190726370965483,151829
62,tool,7.176031448624351,3.4874933350680246,8.331716891378164,0.6220655530660103,6.317439664275415,2.791129414052252,3.4348876124302694,9.783996856034692,3.7061522168581162,6.961208965028486,2.2754319791156465,6.934246472458341,4.752310655735157,4.688932822657232,151829
63,face,5.194058511744846,3.2047407653786846,3.153009847854264,-0.7358341420690219,1.3170186038459502,0.32360369905889513,3.3941833800127528,5.270851810476673,3.752036186991728,4.756070912965844,0.17728155136562534,2.860805633686372,2.0565222029424746,2.354626552992258,158035
64,place,8.007940483815743,1.3749752543312874,4.368405840941705,0.9258207448323568,4.960976415103482,4.193871988764694,4.2099508082165435,7.493861417272198,3.598052006410925,4.439845847025994,1.2398747919256439,7.586462390956594,6.617332287040758,4.289415005124917,158035
65,tool,9.004182342327002,4.080829437620737,7.794517643749714,0.7347793745125334,5.593058715904912,3.281166535471716,4.877297967922788,8.384873763838812,3.4229589035375074,6.460805081552075,1.7159952599011215,6.49596443816797,5.067352769919384,4.517774292870479,158035
66,face,4.953394972916805,3.794524186869731,4.569997288170271,-0.23713322500387826,1.929851977755466,0.6650737804030219,4.174151678029604,3.141339503117462,3.3131880857777505,5.8195359442503225,0.2034347678101299,1.5668526633239503,-0.049436944617349425,3.7948009390540482,171633
67,place,3.7208399779417296,2.371501985887015,2.20388864375127,0.18907512376705807,3.36488024373689,2.1149614565074444,2.1972848839956107,4.963997552643961,3.0531690311754307,4.663474809498556,0.04662814114869821,4.827475486267636,3.342261599721732,3.8484114961025595,171633
68,tool,5.206030045494889,5.101698161379711,3.1201486456557177,0.6383070859250923,3.632486144381185,2.0665633767362563,3.8530474176802554,3.888918349267428,2.8511699479160426,4.831211740241176,0.6816497704770306,4.223046918413532,2.5226952937420135,3.279146222006373,171633
69,face,5.180947117281683,3.54037384082236,4.480194970499724,-1.0165158609052498,-1.3816596932949559,-0.482882090393574,2.5963553017271415,4.307759830742073,4.025895007782513,5.22519138839937,0.8658572033342748,-0.16564888493227425,0.03859476110449544,1.0603933137129335,179346
70,place,5.823392062476187,2.432772331455773,2.7373103719437495,-0.8396320044000943,2.683539198050576,0.9445252280321813,3.068921699431263,5.742555659208724,3.300227610633997,3.628168973711229,1.0222309080533463,2.863727415453142,2.4996674304575097,2.472783967539543,179346
71,tool,6.113863887208881,5.311136656516307,6.826085541397333,0.6472830178091923,4.271847216970092,1.194520165873391,3.99967423993155,5.945123928418355,5.001325481554918,7.192985395750692,1.777513304633079,2.0979171983390326,1.8297449466254976,4.017931159084835,179346
72,face,8.93441273949363,7.907003916598655,8.42934071039781,1.2515736344534283,4.689109206199646,2.786108439728137,5.085874265106786,8.55770521021601,6.8315862863384496,8.917082665428039,1.1918561212617056,3.997979733926147,2.8540161319168997,4.632728932534947,190031
73,place,11.534800363309456,5.624785612645635,8.667337333550677,3.98783966700236,8.668156027793884,6.780329652370945,6.6044409182392245,11.650151010769516,4.251533502130088,7.311218603964774,2.987361221611131,7.9452047548187315,3.946012628483184,5.641823775127154,190031
74,tool,9.544166492693352,6.645596621709095,7.675474868621677,1.7198454500734806,6.8332156712009064,4.854663099012067,7.712074637413025,9.279988256853018,3.890532223987039,5.966592332047801,1.475211270522363,6.249538686738085,3.34968577509309,5.989392928716515,190031
75,face,6.714146773923527,5.965683200371426,6.469836718402803,0.4655623247598608,1.730513829381145,0.4410980012448084,4.011264802778468,5.221502604713636,6.625607066684299,9.57134190297896,0.2955763284635666,2.0635746968771094,1.2256382292849415,2.4630487394683502,200008
76,place,9.537140261043202,3.8769270942823306,3.997551557607949,3.648401126066844,6.56843065446423,5.025052532193161,4.383702026695764,10.17667803835513,4.594425962536667,4.2482856242887435,2.582559080326487,5.318138389445063,6.114092628345078,4.307606930617525,200008
77,tool,9.46219780589595,4.468662384161222,5.649806812405586,1.5332459598779677,6.914643364567911,5.371026170590231,5.217290323071119,9.015681060392465,4.802468924862142,3.520421655428025,2.090295344148532,5.579364007978297,3.3800755358864496,4.787811963748531,200008
78,face,5.430450480995757,8.46427442455614,5.535393432248384,-0.1545967624584834,0.9141908951907328,0.6264317470016859,3.716818890714345,6.529892001579057,6.497543324678265,8.117264256361992,-0.05776846952422863,0.6910468694100629,-0.5290240339739363,4.333519949757752,210112
79,place,5.765110284993143,5.638780211476055,7.410734914476052,0.9793393876279394,1.3114214030004316,1.5028459062619555,5.827199572274665,10.422667442862668,3.7864750440910524,5.363696682837702,1.8245057680893062,7.308966113560236,3.127944350288606,5.452451340791558,210112
80,tool,6.110370636437878,7.2760959122632,7.960314404219389,-0.18305809530119102,1.1251285624720397,0.18451681476266635,6.3615314614872975,8.489147730727694,5.392285033537631,7.867195706213674,1.3095387023237377,6.2209416218658,0.7224397645504387,4.91682116524512,210112
81,face,4.16954745213981,4.35579271384238,3.8954287867236417,-1.7345426174998284,-2.4982112513915187,-3.958234857707735,3.6844127914093496,8.206565936554723,5.052283439142575,7.343803471134555,-0.9310281656977564,1.2955266179433509,0.544324853905925,3.332273318487055,221319
82,place,5.897635606202212,3.941122822085949,7.575878775678575,-1.3996520586808523,3.879786201422253,1.3172725366969262,4.801322995677214,8.27689068175074,1.7968788722431974,11.329256180794008,1.3517227180966056,7.946294880625027,5.277293177850453,3.5083530091938853,221319
83,tool,6.84382532514406,3.8024214435922534,7.068053267896175,1.7651335381964843,5.473352230364276,2.068295131647779,5.939845656146522,5.975336462704103,3.2794327054020256,9.303529600943289,1.578327450348009,3.964708040899305,3.972918263188115,4.2421737668413115,221319
84,face,3.8695065419217856,5.11976524920681,5.432732569985092,-0.2707184085249901,3.3759344428056672,0.7670155350839899,2.8922629407098315,4.622333307253586,5.439402147190787,4.415615552135052,0.14229557338622537,1.6747625227739562,-0.19111379501582296,5.073961397429474,299154
85,place,5.919498105843862,4.572655106315741,4.855996662285179,1.02034604554375,5.227487704446239,2.6164245569417552,4.421890570336029,7.159967559487073,4.8538551741873315,5.144976693295663,1.502372733031464,5.075092301662289,5.031826634465912,4.073722045086011,299154
86,tool,4.923451137362105,5.593578766880406,4.9036540821543895,1.247126934081316,4.534557476279236,2.6175423095062857,5.334583613426745,5.491130060224391,4.9291414235724,4.9822649279789575,1.3889586892679777,4.445739294388401,2.154971109956135,4.220064026914036,299154
87,face,6.407165641134435,4.2546962205622645,2.5196034875698388,-1.0993170954783757,2.5861856843074484,0.46440492319543997,2.7473581114924754,4.633597495840557,4.164477733317872,4.491618993782228,-1.0004648190823908,0.5281035664644259,-0.31795694920475837,1.6589321577999772,361234
88,place,6.399902656222835,3.391052052642949,0.5593962780549191,-0.024242089639107386,6.962198053636858,3.8681964590664832,5.098158563009831,6.898696742840667,2.395903637621835,1.9533494343200037,1.9063123218198814,4.149726096818696,3.8469992717843,3.941682495239402,361234
89,tool,5.359748768083977,3.0470563449859114,1.7833556937985122,-0.8381382674723864,3.913931530329489,1.4507596387467798,3.4652458200497285,5.4278924888861715,2.4032276675802224,1.9785139753573364,0.16218581847330132,2.149451597524223,0.8635747204132286,3.623776229489751,361234
90,face,2.60329538501912,4.767243024540713,6.807691819965839,-1.1409437060970231,0.5518532052576062,-0.18053877853127498,3.839408109668924,2.1308175884048217,5.190922314834873,6.561811839380572,0.5350970627906004,0.4087148614283373,0.45610082488690995,1.558401090239699,424939
91,place,4.999787381878405,1.6431580389145057,6.5413767863065,0.2998611913000544,2.632920286347789,0.7037824301946638,2.4097644073278213,5.203568765476568,2.8105562549977625,5.020724058151245,-0.30417450893633435,1.2855534776489237,1.9238917684113537,2.4509685625549125,424939
92,tool,6.557301303654006,4.177068394231233,9.139536425471306,-0.5819916023562351,3.4463547064412023,0.43919865258278384,4.425561898395795,6.4123324729613405,4.226542230041926,8.658651251946726,0.1053904120874877,1.2856586203813107,-0.184442508643792,3.9209210444711338,424939
93,face,6.454314625624455,6.071700026457374,5.8296377612277865,0.5190188761521131,2.9948077663298576,0.34415147958263276,4.408179905218613,7.508662804738799,6.354395999240945,7.023013172250602,0.7391249660568515,3.092604163200108,1.8641697282408491,2.388549032707174,500222
94,place,6.202003945003856,0.36711494601960926,1.7676587108289823,0.4026836836338043,6.7413067334601955,3.644223345383521,4.155070780643395,6.843675475067167,1.131979597372967,3.10267089451513,-0.07846672502853493,5.1560208321507295,4.400954119401214,3.1264246590865947,500222
95,tool,6.606683413187663,3.4512545628020086,4.191886016749777,0.4823319357819855,6.928526866820551,1.7958688658902482,5.578633952353682,7.960772179845554,3.632283353949325,7.650961939365633,0.09213675038501767,5.68935985707525,2.892745193105513,4.662147167412674,500222
96,face,3.06082100105105,6.661624099505511,10.481828821823001,-0.17720420719434818,1.0865939028801457,-0.3719193606126693,4.224727906098886,6.959062403707362,3.87169985911041,4.210920156971101,0.7229608880485049,2.3703576291063384,1.5169276015913504,3.4280612989947072,570243
97,place,9.317243630235845,2.689215655866507,9.984586710110307,2.7684476842482884,5.820249998881932,5.311420715624286,4.654268258509516,7.347827906039224,1.3314520806749488,6.750944199100617,3.2851635571753626,6.840415310503832,7.652307188069379,4.181359628223259,570243
98,tool,8.835854311784109,5.388732457244013,11.143955260515213,1.6012822110019624,7.199971147121921,2.009366922140602,5.754368949838045,7.781843309082202,2.5501814917484245,9.830728627020314,1.8753089118601367,6.3686804522329306,5.614730951410753,5.025362304998796,570243
99,face,7.149612202788845,6.049634061074136,1.1231699898198713,-0.49297437161207197,2.52764694255987,0.5985595657820663,5.108784464352271,6.448466595429093,7.088297687470913,5.911840662360191,-0.39515353538243486,0.7956714479169295,0.24088497579465679,4.930446561950283,622236
100,place,8.845074581377434,3.071126616081676,4.004825091293242,1.8706076571904122,7.806583535286688,3.9782816680944375,5.839478215500086,5.125160018677142,2.7117092522699933,4.464793382452861,0.5378687929541869,4.942495019578222,3.9650474393993247,4.03543084884892,622236
101,tool,8.171892628525242,3.8417391793903066,5.5788693986833096,-0.33886698832114537,3.446601684055021,0.8718038711156095,6.091901698533227,6.073131803256362,2.5110476285883645,6.439392635899205,0.31159568538123944,4.078174429598139,1.6854443501704086,4.967438466533893,622236
102,face,3.4274448312141677,2.948421093050038,3.1808906432706863,-1.81880409364899,0.02371862231783809,-0.7432196150503813,2.786005258247131,2.136120200991186,3.0321598024984375,5.392090384037264,-1.6549148454266314,0.5016055375393202,-1.515663822836898,3.265345851597259,687163
103,place,4.497781580596259,2.0941364233893527,5.08555680513382,0.07991807449609041,2.498443929418441,1.4546035508429933,2.761948391920378,3.7954355540560254,2.1425416936651307,5.944174144356962,1.440221999231311,3.1308226005466127,2.755273475967072,3.0016231988908864,687163
104,tool,6.180468657703111,4.859680809256797,5.693064015591517,2.061554290812928,4.61914038081323,2.0788871726441767,4.856220088398256,4.167665489573977,3.137913859596378,6.8153500249308925,1.8210247896685459,3.986094049553373,3.41114818373764,5.384996879501503,687163
105,face,4.93402344575434,5.689696665551211,4.719039353411063,0.7106344834839304,1.3897062409068308,0.7089480882390372,2.838067081209053,5.475075888099955,6.301771152176355,7.452377676963806,1.3027556084746514,2.14729998695122,1.6195693695802746,2.182356700708135,769064
106,place,8.035117379643701,4.465780584393321,4.132886416919064,1.6655095366264383,4.262296954470296,1.8454405181710758,5.715398629172509,7.93674601191905,5.227050571457336,5.09012120241119,1.224647822799069,6.323911461200732,6.140791031945911,4.290957845622251,769064
107,tool,6.856336958480604,5.3027961842111635,4.789263415848836,1.641404566715161,3.395789753525488,1.5519904204674306,5.788720730973893,6.9419570236063715,5.369966824849446,6.152764992367837,0.668801406956287,4.6755537221680825,3.1839138853513163,4.382469888494796,769064
