,Activation,ROI,Contrast
211,-0.522516081560283,roi67,EMOTION_SHAPES
212,-1.4283916719519631,roi67,EMOTION_SHAPES
213,-1.4250949430300892,roi67,EMOTION_SHAPES
214,-1.4397652890910888,roi67,EMOTION_SHAPES
215,-0.9186956273254504,roi67,EMOTION_SHAPES
216,-0.2524180735029819,roi67,EMOTION_SHAPES
217,1.5343517772810455,roi67,EMOTION_SHAPES
218,-0.9412710457688307,roi67,EMOTION_SHAPES
219,0.3921716889459854,roi67,EMOTION_SHAPES
220,-1.6787118616981715,roi67,EMOTION_SHAPES
221,0.5353162612911949,roi67,EMOTION_SHAPES
222,-1.6110338393839136,roi67,EMOTION_SHAPES
223,-1.372565328214352,roi67,EMOTION_SHAPES
224,-1.2046251971583624,roi67,EMOTION_SHAPES
225,-1.2814399048939245,roi67,EMOTION_SHAPES
226,0.13331560289255484,roi67,EMOTION_SHAPES
227,-0.7021685535955127,roi67,EMOTION_SHAPES
228,-0.2203859312519912,roi67,EMOTION_SHAPES
229,-0.6613126072457515,roi67,EMOTION_SHAPES
230,-0.7731757688062203,roi67,EMOTION_SHAPES
231,-0.29974231421132036,roi67,EMOTION_SHAPES
232,0.3348585759345356,roi67,EMOTION_SHAPES
233,-1.2083271527147856,roi67,EMOTION_SHAPES
234,0.7895657982878936,roi67,EMOTION_SHAPES
235,0.3073107764631304,roi67,EMOTION_SHAPES
236,0.04928580257818446,roi67,EMOTION_SHAPES
237,-2.376338875176565,roi67,EMOTION_SHAPES
238,-0.4945636977428733,roi67,EMOTION_SHAPES
239,-0.20376774274705464,roi67,EMOTION_SHAPES
240,-0.4197145548379821,roi67,EMOTION_SHAPES
241,-0.7284590883388653,roi67,EMOTION_SHAPES
242,-0.645792065276673,roi67,EMOTION_SHAPES
243,-0.6354475495778883,roi67,EMOTION_SHAPES
244,-1.253837427848624,roi67,EMOTION_SHAPES
245,-1.0915535956842195,roi67,EMOTION_SHAPES
246,-0.4394962717478554,roi67,EMOTION_SHAPES
247,-1.0477809792809392,roi67,EMOTION_SHAPES
248,-0.24630088796291913,roi67,EMOTION_SHAPES
249,-1.1967308739466327,roi67,EMOTION_SHAPES
250,0.37993436856066576,roi67,EMOTION_SHAPES
251,-1.3882481661852673,roi67,EMOTION_SHAPES
252,-1.2374090752199567,roi67,EMOTION_SHAPES
253,-0.6360419801278641,roi67,EMOTION_SHAPES
254,-1.8728943246455372,roi67,EMOTION_SHAPES
255,-1.9453581453811737,roi67,EMOTION_SHAPES
256,-0.7915089477029573,roi67,EMOTION_SHAPES
257,-1.1046133993487497,roi67,EMOTION_SHAPES
