
 Mean for ROI 12, contrast 19 is 0.207049, st dev is  0.737910
 Mean for ROI 13, contrast 0 is -1.720322, st dev is  1.394737
 Mean for ROI 13, contrast 1 is -1.403020, st dev is  1.192410
 Mean for ROI 13, contrast 2 is -1.085839, st dev is  1.189200
 Mean for ROI 13, contrast 3 is -1.416817, st dev is  1.153508
 Mean for ROI 13, contrast 4 is -1.222125, st dev is  1.034757
 Mean for ROI 13, contrast 5 is -1.367881, st dev is  1.199615
 Mean for ROI 13, contrast 6 is -0.924770, st dev is  0.914909
 Mean for ROI 13, contrast 7 is -0.786716, st dev is  0.887070
 Mean for ROI 13, contrast 8 is 1.486378, st dev is  0.874464
 Mean for ROI 13, contrast 9 is 0.537479, st dev is  1.047189
 Mean for ROI 13, contrast 10 is -0.631094, st dev is  0.809788
 Mean for ROI 13, contrast 11 is 0.361891, st dev is  0.922744
 Mean for ROI 13, contrast 12 is -0.196286, st dev is  0.814046
 Mean for ROI 13, contrast 13 is -0.238269, st dev is  1.026878
 Mean for ROI 13, contrast 14 is -0.639471, st dev is  0.710561
 Mean for ROI 13, contrast 15 is -0.632878, st dev is  0.689007
 Mean for ROI 13, contrast 16 is 2.106199, st dev is  1.268317
 Mean for ROI 13, contrast 17 is 1.628786, st dev is  1.201994
 Mean for ROI 13, contrast 18 is -0.409877, st dev is  0.711421
 Mean for ROI 13, contrast 19 is -0.367099, st dev is  0.711112
 Mean for ROI 14, contrast 0 is 1.911481, st dev is  1.521190
 Mean for ROI 14, contrast 1 is 0.994560, st dev is  1.245718
 Mean for ROI 14, contrast 2 is 1.407999, st dev is  1.284119
 Mean for ROI 14, contrast 3 is 1.186869, st dev is  1.182059
 Mean for ROI 14, contrast 4 is 1.131319, st dev is  1.140522
 Mean for ROI 14, contrast 5 is 0.975799, st dev is  1.175128
 Mean for ROI 14, contrast 6 is 1.565758, st dev is  1.143677
 Mean for ROI 14, contrast 7 is 1.927735, st dev is  1.096165
 Mean for ROI 14, contrast 8 is 1.897830, st dev is  0.930455
 Mean for ROI 14, contrast 9 is 1.579434, st dev is  1.121788
 Mean for ROI 14, contrast 10 is 0.744103, st dev is  0.993898
 Mean for ROI 14, contrast 11 is 1.422847, st dev is  1.087152
